交易日期,市場名稱,成交頭數-總數,成交頭數-平均重量,成交頭數-平均價格,規格豬(75公斤以上)-頭數,規格豬(75公斤以上)-平均重量,規格豬(75公斤以上)-平均價格,75公斤以下-頭數,75公斤以下-平均重量,75公斤以下-平均價格,75(含)-95(不含)-頭數,75(含)-95(不含)-平均重量,75(含)-95(不含)-平均價格,95(含)-115(含)-頭數,95(含)-115(含)-平均重量,95(含)-115(含)-平均價格,115(含)-135(不含)-頭數,115(含)-135(不含)-平均重量,115(含)-135(不含)-平均價格,135(含)-155(不含)-頭數,135(含)-155(不含)-平均重量,135(含)-155(不含)-平均價格,155公斤以上-頭數,155公斤以上-平均重量,155公斤以上-平均價格,淘汰種豬-頭數,淘汰種豬-平均重量,淘汰種豬-平均價格,其他豬-頭數,其他豬-平均重量,其他豬-平均價格,冷凍廠-頭數,冷凍廠-平均重量,冷凍廠-平均價格,成交總數(不含冷凍廠)-頭數,成交總數(不含冷凍廠)-平均重量,成交總數(不含冷凍廠)-平均價格
1110129,臺南市,717,124.29,75.88,693,123.93,76.06,0,0.00,0.00,7,92.86,74.65,192,108.63,77.68,356,124.36,75.68,145,143.12,75.23,12,160.08,74.22,0,0.00,0.00,5,132.50,58.40,0,0.00,0.00,717,124.29,75.88
1110129,臺南安南,1270,123.16,81.71,1242,123.49,82.14,8,55.19,22.41,9,85.33,64.15,320,109.75,81.37,737,125.06,82.46,185,141.02,82.06,7,160.64,75.18,4,176.88,54.88,0,0.00,0.00,0,0.00,0.00,1270,123.16,81.71
1110129,雲林縣,2499,114.97,76.02,2221,117.35,77.60,0,0.00,0.00,186,89.70,63.73,989,106.83,75.57,1080,123.60,79.05,152,141.40,78.53,12,158.46,73.90,0,0.00,0.00,80,101.18,51.15,0,0.00,0.00,2499,114.97,76.02
1110129,嘉義縣,1167,117.73,73.74,1083,119.80,74.23,0,0.00,0.00,64,88.30,69.70,365,107.60,75.90,627,123.90,74.20,91,140.50,69.30,0,0.00,0.00,0,0.00,0.00,20,100.00,53.00,0,0.00,0.00,1167,117.73,73.74
1110129,嘉義市,1194,125.08,73.35,1157,125.55,73.77,0,0.00,0.00,20,88.54,51.31,252,108.76,74.01,634,125.46,74.18,271,141.39,72.74,10,158.26,69.38,0,0.00,0.00,7,103.11,51.90,0,0.00,0.00,1194,125.08,73.35
1110129,南投縣,3261,122.00,75.49,3145,121.64,75.83,0,0.00,0.00,22,92.41,69.26,1002,108.34,73.97,1710,124.32,76.36,433,141.83,77.26,49,164.14,74.56,0,0.00,0.00,45,115.93,54.95,254,122.35,64.05,3007,121.97,76.46
1110129,彰化縣,2528,119.18,78.17,2446,119.62,78.49,1,30.00,10.00,45,90.12,72.08,860,108.06,77.86,1371,123.53,78.85,215,140.93,78.44,5,161.20,79.53,3,215.17,40.09,28,112.52,63.68,3,114.67,70.01,2525,119.18,78.17
1110129,台中大安,2161,118.79,80.68,2016,119.12,80.87,3,73.20,57.02,78,88.60,69.90,807,107.90,78.60,1032,123.90,81.63,177,142.40,84.87,12,157.20,84.97,29,167.00,93.32,23,117.20,67.01,40,112.80,73.86,2121,118.90,80.80
1110129,苗栗縣,1284,144.29,88.73,1237,144.19,89.18,0,0.00,0.00,0,0.00,0.00,33,112.17,83.98,354,127.46,90.64,544,144.63,89.41,306,166.22,87.89,0,0.00,0.00,47,146.84,77.28,0,0.00,0.00,1284,144.29,88.73
1110129,桃園市,3613,134.02,80.11,3221,130.19,80.12,0,0.00,0.00,5,91.20,64.00,317,109.10,74.50,1710,125.50,78.50,1194,142.50,83.30,387,166.50,80.20,0,0.00,0.00,0,0.00,0.00,62,126.20,62.60,3551,134.16,80.40
1110129,新竹縣,1116,139.74,78.84,1083,139.20,79.76,0,0.00,0.00,0,0.00,0.00,28,110.70,73.89,488,127.30,78.53,410,143.10,80.88,157,171.10,80.84,15,175.40,43.04,18,142.50,61.59,0,0.00,0.00,1116,139.74,78.84
1110129,宜蘭縣,838,128.69,85.74,838,128.69,85.74,0,0.00,0.00,0,0.00,0.00,122,110.62,80.20,476,125.47,86.08,217,142.14,87.53,23,164.41,85.63,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,838,128.69,85.74
1110129,新北市,4015,129.67,76.17,3839,128.49,76.40,2,63.80,36.13,12,86.47,59.57,524,109.32,72.43,2131,125.39,76.34,1184,142.55,77.85,162,161.78,72.66,0,0.00,0.00,0,0.00,0.00,145,128.15,61.98,3870,129.73,76.70
1110128,花蓮縣,668,131.08,78.98,663,131.36,79.08,0,0.00,0.00,5,93.40,61.81,92,108.76,74.49,325,126.33,79.96,209,143.44,79.77,37,163.57,77.23,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,668,131.08,78.98
1110128,台東縣,408,126.07,78.19,388,124.19,78.75,0,0.00,0.00,0,0.00,0.00,78,109.36,78.75,250,124.78,78.88,60,140.98,78.29,0,0.00,0.00,20,162.60,69.83,0,0.00,0.00,0,0.00,0.00,408,126.07,78.19
1110128,屏東縣,2123,123.30,69.85,2016,124.04,70.44,1,73.50,56.20,53,88.45,64.33,505,107.16,71.44,1110,125.29,71.02,401,141.86,68.08,21,162.04,61.20,3,182.66,51.10,29,103.00,42.83,287,134.86,63.69,1836,121.50,70.92
1110128,澎湖縣,161,120.95,82.44,39,105.51,93.90,0,0.00,0.00,0,0.00,0.00,39,105.51,93.90,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,122,125.89,79.37,0,0.00,0.00,161,120.95,82.44
1110128,高雄旗山,725,126.65,73.85,716,126.36,73.95,0,0.00,0.00,0,0.00,0.00,105,110.87,70.15,467,125.21,74.11,144,141.36,75.66,6,163.08,71.37,0,0.00,0.00,3,124.83,56.72,55,126.33,65.45,670,126.68,74.54
1110128,高雄鳳山,1808,128.19,74.62,1740,127.64,74.89,0,0.00,0.00,4,91.80,69.17,269,109.52,73.40,985,125.36,75.28,486,142.28,74.84,37,160.42,69.84,0,0.00,0.00,27,124.72,65.80,165,128.01,64.14,1643,128.20,75.67
1110128,高雄岡山,1479,121.71,70.36,1399,123.01,70.96,1,72.50,33.81,68,88.80,53.97,341,107.60,67.70,850,124.50,71.61,208,142.20,72.69,11,163.60,69.15,0,0.00,0.00,0,0.00,0.00,201,122.00,64.01,1278,121.66,71.36
1110128,高雄市,1085,119.48,71.24,1051,119.55,71.62,0,0.00,0.00,4,92.63,65.32,332,109.08,72.17,657,122.98,71.66,62,139.31,68.98,2,157.00,63.17,0,0.00,0.00,28,118.02,58.06,296,120.60,65.76,789,119.06,73.32
1110128,臺南市,870,119.66,69.91,842,120.13,70.20,5,64.90,12.48,11,89.00,59.04,280,108.54,70.17,481,123.34,70.09,81,141.15,70.81,5,159.80,74.54,0,0.00,0.00,7,121.57,65.61,100,123.87,63.87,770,119.11,70.72
1110128,臺南安南,1715,122.52,71.20,1659,123.38,71.55,12,51.67,11.13,33,90.58,64.82,411,108.02,70.48,972,124.77,71.93,276,141.36,71.61,8,163.38,67.36,3,172.17,48.67,0,0.00,0.00,157,128.41,62.58,1558,121.93,72.11
1110128,雲林縣,3669,118.23,71.91,3455,118.77,72.62,0,0.00,0.00,107,89.33,65.66,1418,107.97,72.01,1725,123.36,73.38,312,142.48,71.04,23,160.46,66.85,0,0.00,0.00,84,121.11,51.05,499,120.29,64.35,3170,117.90,73.12
1110128,嘉義縣,1136,118.84,73.64,1041,121.79,74.25,0,0.00,0.00,70,88.30,69.60,309,106.90,75.20,575,124.00,74.90,157,143.00,70.80,0,0.00,0.00,0,0.00,0.00,25,81.60,48.00,40,134.80,63.90,1096,118.26,74.05
1110128,嘉義市,1242,123.82,72.40,1206,123.45,72.87,0,0.00,0.00,13,89.77,51.88,292,108.86,72.69,716,124.19,73.47,198,142.32,71.16,22,164.97,60.35,0,0.00,0.00,1,106.80,57.00,63,124.63,62.38,1179,123.78,72.94
1110128,南投縣,3294,121.98,76.55,3163,121.74,76.98,0,0.00,0.00,21,91.33,72.89,1039,109.09,75.48,1671,124.21,77.48,453,141.63,78.03,38,163.05,78.49,0,0.00,0.00,72,120.04,56.68,288,123.07,66.81,3006,121.88,77.49
1110128,彰化縣,2966,122.72,73.26,2817,122.85,73.77,4,68.00,37.06,50,90.73,67.55,753,108.17,74.05,1649,124.97,73.82,415,141.09,73.18,31,160.71,69.87,8,210.06,50.13,56,114.94,60.00,72,121.35,66.80,2894,122.75,73.41
1110128,台中大安,2692,122.06,74.09,2551,122.14,74.37,0,0.00,0.00,65,90.40,65.49,788,108.30,73.47,1359,124.20,75.10,404,142.20,73.58,22,157.70,78.98,21,167.20,78.85,33,125.90,56.54,315,118.50,68.31,2377,122.53,74.83
1110128,苗栗縣,1575,136.99,86.66,1511,137.09,86.94,0,0.00,0.00,0,0.00,0.00,121,109.49,79.21,630,126.53,83.66,553,143.97,88.94,207,166.97,92.87,0,0.00,0.00,64,134.55,79.98,42,123.14,66.86,1533,137.36,87.15
1110128,桃園市,3862,133.64,79.12,3453,129.98,79.13,0,0.00,0.00,15,89.60,54.50,419,108.50,73.00,1771,126.00,77.10,1263,142.70,83.20,375,166.70,81.20,19,180.00,49.00,0,0.00,0.00,168,127.60,63.50,3694,133.91,79.80
1110128,新竹縣,1295,141.92,80.98,1259,141.29,81.94,0,0.00,0.00,2,87.70,55.91,82,109.00,73.80,429,126.60,81.36,497,144.20,83.73,251,171.20,81.39,12,218.50,39.23,22,141.10,62.32,70,128.00,68.22,1225,142.72,81.63
1110128,宜蘭縣,773,129.48,85.54,768,129.75,85.75,1,72.50,20.00,4,91.37,39.03,106,110.27,80.49,413,125.14,86.26,217,143.12,87.22,32,163.20,83.82,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,773,129.48,85.54
1110128,新北市,4113,129.31,77.71,3965,128.53,77.71,3,66.00,45.73,19,89.08,62.76,402,109.53,75.17,2435,125.53,77.36,1128,141.76,79.07,126,161.60,79.45,0,0.00,0.00,0,0.00,0.00,192,127.43,66.22,3921,129.40,78.27
1110127,花蓮縣,598,131.32,79.44,596,131.44,79.48,0,0.00,0.00,2,94.00,63.50,95,108.53,72.72,265,125.95,80.02,197,143.87,81.13,39,161.79,80.27,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,598,131.32,79.44
1110127,台東縣,349,124.81,78.71,331,123.89,79.16,0,0.00,0.00,4,92.25,76.25,76,109.93,79.18,202,124.56,79.03,53,141.37,79.59,0,0.00,0.00,14,155.71,70.66,0,0.00,0.00,0,0.00,0.00,349,124.81,78.71
1110127,屏東縣,2194,120.54,72.05,2058,121.66,72.64,14,71.28,55.28,61,87.59,66.59,688,107.97,72.50,1050,124.39,72.81,320,142.16,72.36,27,161.81,67.80,5,155.40,65.02,29,89.40,42.86,481,125.09,68.42,1713,119.26,73.12
1110127,高雄旗山,628,128.63,76.06,613,128.54,76.33,0,0.00,0.00,2,93.75,63.91,67,110.78,74.08,379,125.79,77.27,167,141.89,75.13,7,157.93,70.24,0,0.00,0.00,6,115.50,58.27,91,130.23,68.43,537,128.36,77.37
